No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
136,JP3164630000,2014,1.22,3.2,33.08
136,JP3164630000,2015,1.86,4.63,4.63
136,JP3164630000,2016,2.29,9.1,5.8
136,JP3164630000,2017,2.16,8.56,4.68
137,JP3494600004,2014,0.92,2.64,47.86
137,JP3494600004,2015,1.79,5.36,35.79
137,JP3494600004,2016,1.69,7.59,33.13
137,JP3494600004,2017,2.2,8.71,12.31
138,JP3551200003,2014,0.74,2.02,321.98
138,JP3551200003,2015,1.12,2.56,250.37
138,JP3551200003,2016,0.72,2.37,242.36
138,JP3551200003,2017,0.64,2.43,223.85
139,JP3493400000,2014,1.01,4.02,109.78
139,JP3493400000,2015,1.29,5.48,98.85
139,JP3493400000,2016,0.87,5.07,86.63
139,JP3493400000,2017,1.12,5.4,84.31
140,JP3160400002,2014,1.95,3.88,49.52
140,JP3160400002,2015,4.06,5.15,39.43
140,JP3160400002,2016,3.33,6.32,35.49
140,JP3160400002,2017,2.89,4.53,36.51
141,JP3118000003,2014,1.97,10.17,37.31
141,JP3118000003,2015,3.13,3.1,28.97
141,JP3118000003,2016,2.33,4.72,33.93
141,JP3118000003,2017,1.76,3.9,30.86
142,JP3820000002,2014,1.04,2.73,102.89
142,JP3820000002,2015,1.78,3.48,78
142,JP3820000002,2016,1.1,3.69,95.58
142,JP3820000002,2017,1.29,4.92,63
143,JP3814800003,2014,1.84,12.11,35.89
143,JP3814800003,2015,2.57,13.01,21.17
143,JP3814800003,2016,2.05,18.41,13.04
143,JP3814800003,2017,1.88,10.67,10.58
144,JP3814000000,2014,0.55,2.69,17.8
